signup_date,termination_date,membership_cost
2014-01-25,2014-06-17,1168.0
2014-01-29,2014-05-05,1571.0
2014-01-10,2014-06-29,1099.0
2014-01-27,2014-03-15,1033.0
2014-01-09,2014-06-06,809.0
2014-01-13,2014-05-30,1068.0
2014-01-15,2014-03-12,1413.0
2014-01-29,2014-06-08,958.0
2014-01-11,2014-06-28,1102.0
2014-01-12,2014-07-01,725.0
2014-01-28,2014-06-24,1454.0
2014-01-02,2014-06-03,1221.0
2014-01-31,2014-03-16,1422.0
2014-01-09,2014-04-29,1202.0
2014-01-24,2014-05-02,1314.0
2014-01-21,2014-06-13,1237.0
2014-01-19,2014-05-18,943.0
2014-01-19,2014-03-05,1433.0
2014-01-19,2014-06-08,1306.0
2014-01-27,2014-02-27,1278.0
2014-01-25,2014-06-14,1121.0
2014-01-05,2014-06-10,1123.0
2014-01-27,2014-02-28,1547.0
2014-01-17,2014-02-21,1301.0
2014-01-21,2014-06-25,881.0
2014-01-02,2014-04-26,1107.0
2014-01-22,2014-06-30,1324.0
2014-01-09,2014-06-23,1348.0
2014-01-18,2014-05-10,1086.0
2014-01-13,2014-03-17,1234.0
2014-01-22,2014-06-18,1605.0
2014-01-10,2014-04-19,1248.0
2014-01-04,2014-06-19,1219.0
2014-01-02,2014-05-02,1385.0
2014-01-12,2014-06-01,1291.0
2014-01-17,2014-05-16,1254.0
2014-01-10,2014-06-15,1541.0
2014-01-09,2014-04-29,1447.0
2014-01-31,2014-03-10,905.0
2014-01-05,2014-04-20,1034.0
2014-01-25,2014-03-29,1053.0
2014-01-30,2014-05-09,1496.0
2014-01-29,2014-06-29,1033.0
2014-01-11,2014-05-04,1221.0
2014-01-20,2014-03-19,1262.0
2014-01-18,2014-06-13,937.0
2014-01-01,2014-06-15,1209.0
2014-01-18,2014-06-17,1180.0
2014-01-08,2014-04-23,1000.0
2014-01-24,2014-06-10,1571.0
2014-01-21,2014-04-27,975.0
2014-01-23,2014-04-20,1487.0
2014-01-23,2014-06-01,1273.0
2014-01-12,2014-05-03,1706.0
2014-01-06,2014-06-20,1164.0
2014-01-03,2014-06-29,1196.0
2014-01-09,2014-06-30,1060.0
2014-01-27,2014-04-28,912.0
2014-01-20,2014-05-25,879.0
2014-01-23,2014-07-01,1326.0
2014-01-05,2014-06-29,1087.0
2014-01-19,2014-05-18,1070.0
2014-01-18,2014-06-26,1489.0
2014-01-02,2014-06-27,1028.0
2014-01-05,2014-05-28,1215.0
2014-01-26,2014-07-01,1149.0
2014-01-18,2014-06-19,1525.0
2014-01-27,2014-03-05,1166.0
2014-01-17,2014-06-02,1369.0
2014-01-18,2014-05-25,1264.0
2014-01-31,2014-06-25,1118.0
2014-01-30,2014-06-22,1472.0
2014-01-01,2014-06-28,1189.0
2014-01-20,2014-06-23,1237.0
2014-01-04,2014-04-06,1031.0
2014-01-07,2014-06-29,1100.0
2014-01-19,2014-04-14,1829.0
2014-01-25,2014-06-11,1291.0
2014-01-09,2014-06-17,1096.0
2014-01-09,2014-06-29,1372.0
2014-01-01,2014-03-29,1183.0
2014-01-08,2014-06-28,1023.0
2014-01-07,2014-04-09,994.0
2014-01-10,2014-04-17,950.0
2014-01-14,2014-06-10,746.0
2014-01-15,2014-05-23,1350.0
2014-01-07,2014-06-15,960.0
2014-01-17,2014-06-23,1046.0
2014-01-25,2014-04-03,1260.0
2014-01-21,2014-06-05,1192.0
2014-01-10,2014-03-16,1214.0
2014-01-19,2014-06-28,886.0
2014-01-26,2014-04-20,1272.0
2014-01-31,2014-05-25,1436.0
2014-01-12,2014-03-27,1034.0
2014-01-25,2014-06-06,1245.0
2014-01-10,2014-06-30,1456.0
2014-01-10,2014-06-11,1240.0
2014-01-19,2014-06-28,1028.0
2014-01-07,2014-05-31,1276.0
2014-01-18,2014-06-13,1037.0
2014-01-18,2014-06-08,1294.0
2014-01-01,2014-05-25,1418.0
2014-01-26,2014-06-25,1233.0
2014-01-17,2014-06-23,1376.0
2014-01-16,2014-06-21,1235.0
2014-01-04,2014-06-24,1325.0
2014-01-14,2014-03-28,973.0
2014-01-25,2014-07-01,1030.0
2014-01-11,2014-05-21,1137.0
2014-01-10,2014-06-29,1471.0
2014-01-05,2014-06-16,1215.0
2014-01-18,2014-06-28,1216.0
2014-01-31,2014-05-24,886.0
2014-01-21,2014-04-10,1452.0
2014-01-20,2014-05-18,1180.0
2014-01-11,2014-03-28,1170.0
2014-01-14,2014-06-01,1520.0
2014-01-12,2014-06-25,1508.0
2014-01-31,2014-06-20,1119.0
2014-01-05,2014-06-28,1423.0
2014-01-20,2014-02-22,1173.0
2014-01-24,2014-03-14,775.0
2014-01-09,2014-06-17,1133.0
